# Source NodeID,Target NodeID,EdgeID,Direction,Layer,name,Source Layer,Target Layer
5453b63555474a336231a036,5453b63455474a3362318bd7,54b954ba55474a0e08bd352b,TwoWay,crosslayer,None,train,road
5453b63555474a336231a036,5453b63455474a336231933b,54b954ba55474a0e08bd352c,TwoWay,crosslayer,None,train,road
5453b63555474a336231a036,5453b63555474a336231adbb,54b954ba55474a0e08bd352d,TwoWay,crosslayer,None,train,road
5453b63555474a336231a036,5453b63455474a33623183c4,54b954ba55474a0e08bd352e,TwoWay,crosslayer,None,train,road
5453b63555474a336231a036,5453b63355474a3362317394,54b954ba55474a0e08bd352f,TwoWay,crosslayer,None,train,road
5453b63555474a336231a036,5453b63455474a33623174ce,54b954ba55474a0e08bd3530,TwoWay,crosslayer,None,train,road
5453b63555474a336231a036,5453b63455474a3362319054,54b954ba55474a0e08bd3531,TwoWay,crosslayer,None,train,road
5453b63555474a336231a036,5453b63455474a336231916b,54b954ba55474a0e08bd3532,TwoWay,crosslayer,None,train,road
5453b63555474a336231a036,5453b63555474a336231a9bc,54b954ba55474a0e08bd3533,TwoWay,crosslayer,None,train,road
5453b63555474a336231a036,5453b63455474a33623184ba,54b954ba55474a0e08bd3534,TwoWay,crosslayer,None,train,road
5453b63555474a336231a036,5453b63455474a33623199ce,54b954ba55474a0e08bd3535,TwoWay,crosslayer,None,train,road
5453b63555474a336231a036,5453b63455474a3362318f16,54b954ba55474a0e08bd3536,TwoWay,crosslayer,None,train,road
5453b63555474a336231a036,5453b63455474a3362318f27,54b954ba55474a0e08bd3537,TwoWay,crosslayer,None,train,road
5453b63555474a336231a036,5453b63555474a3362319c40,54b954ba55474a0e08bd3538,TwoWay,crosslayer,None,train,road
5453b63555474a336231a036,5453b63455474a3362317cd9,54b954ba55474a0e08bd3539,TwoWay,crosslayer,None,train,road
5453b63555474a336231a036,5453b63455474a33623198c3,54b954ba55474a0e08bd353a,TwoWay,crosslayer,None,train,road
5453b63555474a336231a036,5453b63555474a336231a97e,54b954ba55474a0e08bd353b,TwoWay,crosslayer,None,train,road
5453b63555474a336231a036,5453b63455474a3362318ace,54b954ba55474a0e08bd353c,TwoWay,crosslayer,None,train,road
5453b63555474a336231a036,5453b63455474a336231968d,54b954ba55474a0e08bd353d,TwoWay,crosslayer,None,train,road
5453b63555474a336231a277,5453b63555474a336231a9ea,54b954ba55474a0e08bd353e,TwoWay,crosslayer,None,train,road
5453b63555474a336231a277,5453b63555474a336231a9eb,54b954ba55474a0e08bd353f,TwoWay,crosslayer,None,train,road
5453b63555474a336231a277,5453b63455474a3362319337,54b954ba55474a0e08bd3540,TwoWay,crosslayer,None,train,road
5453b63555474a336231a277,5453b63455474a3362319291,54b954ba55474a0e08bd3541,TwoWay,crosslayer,None,train,road
5453b63555474a336231a277,5453b63455474a3362319246,54b954ba55474a0e08bd3542,TwoWay,crosslayer,None,train,road
5453b63555474a336231a277,5453b63455474a3362317ffa,54b954ba55474a0e08bd3543,TwoWay,crosslayer,None,train,road
5453b63555474a336231a277,5453b63455474a3362317e13,54b954ba55474a0e08bd3544,TwoWay,crosslayer,None,train,road
5453b63555474a336231a277,5453b63455474a3362318797,54b954ba55474a0e08bd3545,TwoWay,crosslayer,None,train,road
5453b63555474a336231a277,5453b63555474a336231a866,54b954ba55474a0e08bd3546,TwoWay,crosslayer,None,train,road
5453b63555474a336231a277,5453b63455474a33623188bb,54b954ba55474a0e08bd3547,TwoWay,crosslayer,None,train,road
5453b63555474a336231a277,5453b63455474a3362317cf9,54b954ba55474a0e08bd3548,TwoWay,crosslayer,None,train,road
5453b63555474a336231a277,5453b63455474a3362319a0b,54b954ba55474a0e08bd3549,TwoWay,crosslayer,None,train,road
5453b63555474a336231a277,5453b63555474a336231ae22,54b954ba55474a0e08bd354a,TwoWay,crosslayer,None,train,road
5453b63555474a336231a277,5453b63555474a336231a9ba,54b954ba55474a0e08bd354b,TwoWay,crosslayer,None,train,road
5453b63555474a336231a277,5453b63555474a3362319e61,54b954ba55474a0e08bd354c,TwoWay,crosslayer,None,train,road
5453b63555474a336231a277,5453b63555474a3362319e62,54b954ba55474a0e08bd354d,TwoWay,crosslayer,None,train,road
5453b63555474a336231a277,5453b63555474a3362319e64,54b954ba55474a0e08bd354e,TwoWay,crosslayer,None,train,road
5453b63555474a336231a277,5453b63455474a3362317703,54b954ba55474a0e08bd354f,TwoWay,crosslayer,None,train,road
5453b63555474a336231a277,5453b63455474a3362318c42,54b954ba55474a0e08bd3550,TwoWay,crosslayer,None,train,road
5453b63555474a336231a277,5453b63555474a336231a519,54b954ba55474a0e08bd3551,TwoWay,crosslayer,None,train,road
5453b63555474a336231a277,5453b63455474a3362317f1a,54b954ba55474a0e08bd3552,TwoWay,crosslayer,None,train,road
5453b63555474a336231a277,5453b63455474a3362317f1b,54b954ba55474a0e08bd3553,TwoWay,crosslayer,None,train,road
5453b63555474a336231a277,5453b63455474a3362318e56,54b954ba55474a0e08bd3554,TwoWay,crosslayer,None,train,road
5453b63555474a336231a277,5453b63455474a33623175c6,54b954ba55474a0e08bd3555,TwoWay,crosslayer,None,train,road
5453b63555474a336231a277,5453b63455474a3362318127,54b954ba55474a0e08bd3556,TwoWay,crosslayer,None,train,road
5453b63555474a336231a277,5453b63455474a3362318aa3,54b954ba55474a0e08bd3557,TwoWay,crosslayer,None,train,road
5453b63555474a336231a277,5453b63455474a3362317f1c,54b954ba55474a0e08bd3558,TwoWay,crosslayer,None,train,road
5453b63555474a336231a277,5453b63555474a3362319d5a,54b954ba55474a0e08bd3559,TwoWay,crosslayer,None,train,road
5453b63455474a3362318bde,5453b63455474a3362318929,54b954ba55474a0e08bd355a,TwoWay,crosslayer,None,train,road
5453b63455474a3362318bde,5453b63455474a3362318b3d,54b954ba55474a0e08bd355b,TwoWay,crosslayer,None,train,road
5453b63455474a3362318bde,5453b63455474a3362318818,54b954ba55474a0e08bd355c,TwoWay,crosslayer,None,train,road
5453b63455474a3362318bde,5453b63555474a336231a7cf,54b954ba55474a0e08bd355d,TwoWay,crosslayer,None,train,road
5453b63455474a3362318bde,5453b63555474a3362319bcc,54b954ba55474a0e08bd355e,TwoWay,crosslayer,None,train,road
5453b63455474a3362318bde,5453b63455474a3362317eb5,54b954ba55474a0e08bd355f,TwoWay,crosslayer,None,train,road
5453b63455474a3362318bde,5453b63455474a3362317e9e,54b954ba55474a0e08bd3560,TwoWay,crosslayer,None,train,road
5453b63455474a3362318bde,5453b63555474a336231a598,54b954ba55474a0e08bd3561,TwoWay,crosslayer,None,train,road
5453b63455474a3362318bde,5453b63555474a336231a2c6,54b954ba55474a0e08bd3562,TwoWay,crosslayer,None,train,road
5453b63455474a3362318bde,5453b63455474a336231851e,54b954ba55474a0e08bd3563,TwoWay,crosslayer,None,train,road
5453b63455474a3362318bde,5453b63455474a33623191cc,54b954ba55474a0e08bd3564,TwoWay,crosslayer,None,train,road
5453b63455474a3362318bde,5453b63455474a33623181ee,54b954ba55474a0e08bd3565,TwoWay,crosslayer,None,train,road
5453b63455474a3362318bde,5453b63455474a3362318e17,54b954ba55474a0e08bd3566,TwoWay,crosslayer,None,train,road
5453b63455474a3362318bde,5453b63555474a336231a28a,54b954ba55474a0e08bd3567,TwoWay,crosslayer,None,train,road
5453b63455474a3362318bde,5453b63555474a3362319c02,54b954ba55474a0e08bd3568,TwoWay,crosslayer,None,train,road
5453b63455474a3362318bde,5453b63555474a336231a4a9,54b954ba55474a0e08bd3569,TwoWay,crosslayer,None,train,road
5453b63455474a3362318bde,5453b63555474a336231ac55,54b954ba55474a0e08bd356a,TwoWay,crosslayer,None,train,road
5453b63455474a3362318bde,5453b63555474a3362319bd4,54b954ba55474a0e08bd356b,TwoWay,crosslayer,None,train,road
5453b63455474a3362318bde,5453b63555474a3362319bd5,54b954ba55474a0e08bd356c,TwoWay,crosslayer,None,train,road
5453b63455474a3362318bde,5453b63555474a3362319bd3,54b954ba55474a0e08bd356d,TwoWay,crosslayer,None,train,road
5453b63455474a3362318bde,5453b63555474a336231aa2e,54b954ba55474a0e08bd356e,TwoWay,crosslayer,None,train,road
5453b63455474a3362318bde,5453b63455474a3362318c8c,54b954ba55474a0e08bd356f,TwoWay,crosslayer,None,train,road
5453b63455474a3362318bde,5453b63555474a336231a8da,54b954ba55474a0e08bd3570,TwoWay,crosslayer,None,train,road
