# Source NodeID,Target NodeID,EdgeID,Direction,Layer,name
5453b63455474a336231834a,5453b63455474a33623185b7,54b7bef755474a2bb2744dbd,TwoWay,road,D116.6
5453b63455474a336231834a,5453b63455474a3362318cb5,54b7bef755474a2bb2744dbe,TwoWay,road,D116.6
5453b63455474a336231860a,5453b63455474a3362317a63,54b7bef755474a2bb2744dbf,TwoWay,road,D118.6
5453b63455474a33623178c7,5453b63555474a336231ac9e,54b7bef755474a2bb2744dc0,TwoWay,road,D113
5453b63455474a33623178c7,5453b63555474a336231a84e,54b7bef755474a2bb2744dc1,TwoWay,road,D929
5453b63455474a3362319579,5453b63455474a33623174a0,54b7bef755474a2bb2744dc2,TwoWay,road,D906
5453b63455474a3362318492,5453b63455474a3362317450,54b7bef755474a2bb2744dc3,TwoWay,road,D939
5453b63455474a33623178c6,5453b63455474a33623177cf,54b7bef755474a2bb2744dc4,TwoWay,road,D2B
5453b63455474a33623178c6,5453b63455474a336231859a,54b7bef755474a2bb2744dc5,TwoWay,road,D231
5453b63555474a336231acfe,5453b63555474a336231aaa9,54b7bef755474a2bb2744dc6,TwoWay,road,D48E
5453b63555474a336231a2ef,5453b63455474a3362318335,54b7bef755474a2bb2744dd1,TwoWay,road,None
5453b63555474a336231a2ef,5453b63555474a336231a517,54b7bef755474a2bb2744dd2,TwoWay,road,None
5453b63555474a336231a2f0,5453b63455474a3362319466,54b7bef755474a2bb2744dd3,TwoWay,road,D48
5453b63555474a336231a2f0,5453b63455474a3362318792,54b7bef755474a2bb2744dd4,TwoWay,road,D48
5453b63455474a33623193d4,5453b63455474a3362318c6a,54b7bef755474a2bb2744dd5,TwoWay,road,D906
5453b63555474a336231a5b9,5453b63555474a336231aa4e,54b7bef755474a2bb2744dd6,TwoWay,road,D22
5453b63455474a3362319868,5453b63455474a3362317763,54b7bef755474a2bb2744dd7,TwoWay,road,A104
5453b63555474a336231a34b,5453b63555474a336231a3df,54b7bef755474a2bb2744dd8,TwoWay,road,D152
5453b63555474a336231a406,5453b63455474a3362318a4e,54b7bef755474a2bb2744dd9,TwoWay,road,D192P
5453b63555474a3362319c3d,5453b63555474a336231ad90,54b7bef755474a2bb2744dda,TwoWay,road,D136
5453b63555474a3362319c3d,5453b63455474a3362317ec8,54b7bef755474a2bb2744ddb,TwoWay,road,D136.2
