# Source NodeID,Target NodeID,EdgeID,Direction,Layer,name
5453b63455474a3362317cd8,5453b63555474a336231ad94,54b7bef755474a2bb2744f0e,TwoWay,tram,T1
5453b63355474a3362317321,5453b63455474a3362317b77,54b7bef755474a2bb2744f0f,TwoWay,tram,T1
5453b63455474a3362317e65,5453b63455474a3362317e67,54b7bef755474a2bb2744f12,TwoWay,tram,T1
5453b63455474a3362317e65,5453b63455474a3362318172,54b7bef755474a2bb2744f13,TwoWay,tram,T1
5453b63455474a33623181bf,5453b63455474a3362318826,54b7bef755474a2bb2744f14,TwoWay,tram,T1
5453b63455474a3362317e67,5453b63455474a3362317cff,54b7bef755474a2bb2744f15,TwoWay,tram,T1
5453b63355474a3362317321,5453b63455474a336231768d,54b7bef755474a2bb2744f16,TwoWay,tram,T1
5453b63455474a33623181bf,5453b63455474a3362317959,54b7bef755474a2bb2744f17,TwoWay,tram,T1
5453b63555474a336231a3d2,5453b63555474a336231a2b1,54b7bef755474a2bb2745020,TwoWay,tram,T1
5453b63555474a3362319d8b,5453b63355474a3362317299,54b7bef755474a2bb2745021,TwoWay,tram,T1
5453b63455474a3362317e6f,5453b63455474a3362317d85,54b7bef755474a2bb2745022,TwoWay,tram,T1
5453b63455474a3362317668,5453b63555474a3362319cfb,54b7bef755474a2bb2745023,TwoWay,tram,T1
5453b63555474a3362319cfb,5453b63455474a3362317d85,54b7bef755474a2bb2745024,TwoWay,tram,T1
5453b63555474a336231a2ad,5453b63555474a336231a2b1,54b7bef755474a2bb2745025,TwoWay,tram,T1
5453b63555474a336231ada9,5453b63455474a3362319219,54b7bef755474a2bb27455dd,TwoWay,tram,T7
5453b63455474a33623189b0,5453b63355474a33623172a5,54b7bef755474a2bb27455de,TwoWay,tram,T7
5453b63455474a336231891a,5453b63455474a3362318afa,54b7bef755474a2bb27455e1,TwoWay,tram,T5
5453b63455474a3362318c06,5453b63455474a336231891a,54b7bef755474a2bb27455e4,TwoWay,tram,T5
5453b63555474a3362319dd2,5453b63455474a3362318afa,54b7bef755474a2bb27455e5,TwoWay,tram,T5
5453b63455474a3362318172,5453b63455474a336231995e,54b7bef855474a2bb2745a79,TwoWay,tram,T1
5453b63455474a336231995f,5453b63455474a3362317e6f,54b7bef855474a2bb2745a7a,TwoWay,tram,T1
5453b63555474a336231aed5,5453b63455474a3362317668,54b7bef855474a2bb2745a7b,TwoWay,tram,T1
5453b63455474a3362317805,5453b63455474a3362318826,54b7bef855474a2bb2745a7c,TwoWay,tram,T1
5453b63455474a3362317b77,5453b63555474a336231aed5,54b7bef855474a2bb2745a7d,TwoWay,tram,T1
5453b63455474a3362319105,5453b63455474a3362319020,54b7bef855474a2bb2745a7e,TwoWay,tram,T1
5453b63455474a3362319370,5453b63455474a3362318f7c,54b7bef855474a2bb2745a7f,TwoWay,tram,T1
5453b63455474a3362319020,5453b63455474a336231995e,54b7bef855474a2bb2745a80,TwoWay,tram,T1
5453b63455474a3362317959,5453b63455474a336231995f,54b7bef855474a2bb2745a81,TwoWay,tram,T1
5453b63455474a3362319370,5453b63355474a3362317299,54b7bef855474a2bb2745a82,TwoWay,tram,T1
5453b63555474a336231ae27,5453b63455474a3362318aa2,54b7bef855474a2bb2745d66,TwoWay,tram,T4
5453b63555474a336231ae27,5453b63555474a336231ae2a,54b7bef855474a2bb2745d67,TwoWay,tram,T4
