# Source NodeID,Target NodeID,EdgeID,Direction,Layer,name
5453b63555474a336231aedb,5453b63455474a3362317e21,54b7bef755474a2bb2744f10,TwoWay,train,RER E
5453b63455474a33623188f0,5453b63555474a336231ab6f,54b7bef755474a2bb2744f11,TwoWay,train,RER E
5453b63455474a3362318b6b,5453b63555474a336231a6ef,54b7bef755474a2bb2745077,TwoWay,train,RER A
5453b63455474a3362318b6b,5453b63555474a336231aa7c,54b7bef755474a2bb2745078,TwoWay,train,RER A
5453b63455474a336231896b,5453b63455474a33623188f3,54b7bef755474a2bb2745079,TwoWay,train,RER A
5453b63455474a336231896b,5453b63555474a336231a6ef,54b7bef755474a2bb274507a,TwoWay,train,RER A
5453b63455474a3362317688,5453b63455474a3362319548,54b7bef755474a2bb274507b,TwoWay,train,RER A
5453b63455474a3362317688,5453b63455474a3362319317,54b7bef755474a2bb274507c,TwoWay,train,RER A
5453b63555474a3362319f5a,5453b63455474a3362317de7,54b7bef755474a2bb274507d,TwoWay,train,RER A
5453b63555474a3362319f5a,5453b63455474a3362317ffd,54b7bef755474a2bb274507e,TwoWay,train,RER A
5453b63455474a336231768a,5453b63555474a336231a8c5,54b7bef755474a2bb274507f,TwoWay,train,RER A
5453b63455474a336231768a,5453b63555474a336231ae69,54b7bef755474a2bb2745080,TwoWay,train,RER A
5453b63455474a3362318f70,5453b63455474a336231746f,54b7bef755474a2bb274516c,TwoWay,train,RER A
5453b63555474a336231ab33,5453b63455474a3362318d7e,54b7bef755474a2bb2745177,TwoWay,train,RER A
5453b63455474a33623174a1,5453b63555474a3362319e28,54b7bef755474a2bb2745250,TwoWay,train,RER C
5453b63455474a3362317d16,5453b63555474a336231a0f0,54b7bef755474a2bb2745251,TwoWay,train,RER C
5453b63455474a3362317d49,5453b63455474a3362317728,54b7bef755474a2bb2745252,TwoWay,train,RER C
5453b63455474a33623197c4,5453b63455474a3362318744,54b7bef755474a2bb2745253,TwoWay,train,RER C
5453b63555474a336231ac03,5453b63555474a336231ac5e,54b7bef755474a2bb2745254,TwoWay,train,RER C
5453b63455474a33623177a4,5453b63455474a336231816b,54b7bef755474a2bb2745255,TwoWay,train,RER C
5453b63455474a3362318fea,5453b63555474a3362319d0e,54b7bef755474a2bb2745256,TwoWay,train,RER C
5453b63455474a3362317475,5453b63455474a3362318e1a,54b7bef755474a2bb2745257,TwoWay,train,RER C
5453b63455474a3362317d02,5453b63555474a336231a0f0,54b7bef755474a2bb2745258,TwoWay,train,RER C
5453b63455474a3362319457,5453b63455474a3362317728,54b7bef755474a2bb2745259,TwoWay,train,RER C
5453b63455474a3362319874,5453b63455474a336231816b,54b7bef755474a2bb274537a,TwoWay,train,RER C
5453b63455474a3362319874,5453b63455474a3362317d49,54b7bef755474a2bb274537b,TwoWay,train,RER C
5453b63455474a3362317bb1,5453b63455474a336231922b,54b7bef755474a2bb274537c,TwoWay,train,RER C
5453b63555474a336231ad69,5453b63455474a3362318fea,54b7bef755474a2bb274537d,TwoWay,train,RER C
5453b63455474a3362318146,5453b63455474a3362317757,54b7bef755474a2bb274537e,TwoWay,train,RER C
5453b63455474a3362318018,5453b63455474a33623197f6,54b7bef755474a2bb274537f,TwoWay,train,RER C
5453b63455474a3362318670,5453b63555474a336231ac03,54b7bef755474a2bb2745380,TwoWay,train,RER C
5453b63455474a3362318670,5453b63555474a3362319e0e,54b7bef755474a2bb2745381,TwoWay,train,RER C
5453b63455474a3362317e0c,5453b63355474a336231728a,54b7bef755474a2bb2745382,TwoWay,train,RER C
5453b63455474a3362317e0c,5453b63455474a3362318773,54b7bef755474a2bb2745383,TwoWay,train,RER C
5453b63455474a33623175aa,5453b63555474a336231a103,54b7bef755474a2bb27456d4,TwoWay,train,RER B
5453b63455474a33623175aa,5453b63555474a336231ac8e,54b7bef755474a2bb27456d5,TwoWay,train,RER B
5453b63455474a336231951c,5453b63555474a3362319b3d,54b7bef755474a2bb27456d6,TwoWay,train,RER B
5453b63455474a33623177b4,5453b63455474a3362319446,54b7bef755474a2bb27456d7,TwoWay,train,RER B
5453b63455474a3362318bde,5453b63455474a336231755f,54b7bef755474a2bb27456d8,TwoWay,train,RER B
5453b63555474a3362319b3d,5453b63455474a336231749b,54b7bef755474a2bb27456d9,TwoWay,train,RER B
5453b63455474a33623177e8,5453b63455474a3362317c0c,54b7bef755474a2bb27456da,TwoWay,train,RER B
5453b63555474a3362319ad0,5453b63455474a33623177b4,54b7bef755474a2bb27456db,TwoWay,train,RER B
5453b63555474a3362319ad0,5453b63455474a3362317c24,54b7bef755474a2bb27456dc,TwoWay,train,RER B
5453b63455474a336231951c,5453b63455474a3362317ee7,54b7bef755474a2bb27456dd,TwoWay,train,RER B
5453b63455474a33623177a4,5453b63455474a3362319419,54b7bef855474a2bb2745c71,TwoWay,train,RER D
5453b63555474a3362319ced,5453b63555474a336231aed4,54b7bef855474a2bb2745c72,TwoWay,train,RER D
5453b63455474a3362318936,5453b63555474a336231ab81,54b7bef855474a2bb2745c73,TwoWay,train,RER D
5453b63555474a336231a370,5453b63555474a336231a910,54b7bef855474a2bb2745c74,TwoWay,train,RER D
5453b63455474a33623189dc,5453b63555474a336231a028,54b7bef855474a2bb2745c75,TwoWay,train,RER D
5453b63455474a33623189dc,5453b63455474a3362319041,54b7bef855474a2bb2745c76,TwoWay,train,RER D
5453b63555474a3362319f09,5453b63455474a3362319a14,54b7bef855474a2bb2745c77,TwoWay,train,RER D
5453b63555474a3362319f09,5453b63455474a3362317769,54b7bef855474a2bb2745c78,TwoWay,train,RER D
5453b63555474a336231ae9a,5453b63455474a3362319419,54b7bef855474a2bb2745c79,TwoWay,train,RER D
5453b63455474a33623175f3,5453b63455474a336231897d,54b7bef855474a2bb2745c7a,TwoWay,train,RER D
5453b63455474a33623199bc,5453b63455474a3362317da8,54b7bef855474a2bb27460d1,TwoWay,train,RER C
5453b63455474a3362317eb2,5453b63455474a336231865d,54b7bef855474a2bb27460d2,TwoWay,train,RER C
5453b63455474a3362317eb2,5453b63555474a336231a973,54b7bef855474a2bb27460d3,TwoWay,train,RER C
5453b63455474a33623182d3,5453b63455474a3362319639,54b7bef855474a2bb27460d4,TwoWay,train,RER C
5453b63455474a336231900a,5453b63555474a3362319d0e,54b7bef855474a2bb27460d5,TwoWay,train,RER C
5453b63455474a336231900a,5453b63355474a3362317297,54b7bef855474a2bb27460d7,TwoWay,train,RER C
5453b63455474a3362318d76,5453b63455474a336231918f,54b7bef855474a2bb27460d8,TwoWay,train,RER C
5453b63555474a336231a2f9,5453b63555474a336231a2f5,54b7bef855474a2bb27460d9,TwoWay,train,RER C
5453b63455474a33623199bc,5453b63455474a3362317828,54b7bef855474a2bb27460da,TwoWay,train,RER C
5453b63455474a336231900a,5453b63455474a336231749b,54b7bef855474a2bb2746551,TwoWay,train,RER C
5453b63455474a33623180f2,5453b63455474a3362317896,54b7bef855474a2bb2746783,TwoWay,train,RER A
5453b63455474a33623180f2,5453b63455474a3362317a1b,54b7bef855474a2bb2746784,TwoWay,train,RER A
5453b63555474a336231a7a6,5453b63555474a336231ab02,54b7bef855474a2bb2746785,TwoWay,train,RER A
5453b63555474a336231a7a6,5453b63455474a33623175b2,54b7bef855474a2bb2746786,TwoWay,train,RER A
5453b63455474a3362318563,5453b63455474a3362319316,54b7bef855474a2bb2746988,TwoWay,train,RER D
5453b63455474a3362317aa5,5453b63455474a33623175f3,54b7bef855474a2bb2746989,TwoWay,train,RER D
5453b63555474a336231a27b,5453b63455474a3362319581,54b7bef855474a2bb274698a,TwoWay,train,RER D
5453b63455474a3362317912,5453b63455474a33623177a4,54b7bef855474a2bb274698b,TwoWay,train,RER D
5453b63455474a3362317912,5453b63455474a3362319041,54b7bef855474a2bb274698c,TwoWay,train,RER D
5453b63555474a336231aed6,5453b63555474a336231ae9a,54b7bef855474a2bb274698d,TwoWay,train,RER D
5453b63455474a3362317aa5,5453b63455474a3362319581,54b7bef855474a2bb274698e,TwoWay,train,RER D
5453b63555474a336231ae7c,5453b63455474a3362319316,54b7bef855474a2bb274698f,TwoWay,train,RER D
5453b63555474a336231ae7c,5453b63455474a33623182be,54b7bef855474a2bb2746990,TwoWay,train,RER D
5453b63555474a336231a27b,5453b63555474a336231a25f,54b7bef855474a2bb2746991,TwoWay,train,RER D
5453b63455474a33623183f2,5453b63555474a336231a036,54b7bef855474a2bb27469ec,TwoWay,train,RER E
5453b63455474a33623177ea,5453b63455474a336231981e,54b7bef855474a2bb27469ef,TwoWay,train,RER E
5453b63455474a33623183f2,5453b63555474a336231a8a6,54b7bef855474a2bb27469f6,TwoWay,train,RER E
5453b63455474a33623180bf,5453b63555474a336231a02f,54b7bef855474a2bb27469f7,TwoWay,train,RER E
5453b63555474a336231ac45,5453b63455474a336231981e,54b7bef855474a2bb27469f8,TwoWay,train,RER E
5453b63455474a33623177ea,5453b63555474a336231a02f,54b7bef855474a2bb27469fa,TwoWay,train,RER E
5453b63455474a3362319386,5453b63555474a336231ab6f,54b7bef855474a2bb27469fc,TwoWay,train,RER E
5453b63455474a3362319311,5453b63455474a33623192fb,54b7bef855474a2bb2746ad0,TwoWay,train,RER C
5453b63455474a3362318a84,5453b63455474a336231843e,54b7bef855474a2bb2746ad1,TwoWay,train,RER C
5453b63455474a33623192c6,5453b63455474a336231843e,54b7bef855474a2bb2746ad2,TwoWay,train,RER C
5453b63455474a3362319311,5453b63355474a33623172cf,54b7bef855474a2bb2746ad3,TwoWay,train,RER C
5453b63455474a33623195ee,5453b63555474a336231ac5e,54b7bef855474a2bb2746ad4,TwoWay,train,RER C
5453b63455474a33623192c6,5453b63555474a3362319f5c,54b7bef855474a2bb2746ad5,TwoWay,train,RER C
5453b63555474a336231a92d,5453b63455474a33623195f1,54b7bef855474a2bb2746ad6,TwoWay,train,RER C
5453b63455474a33623195ee,5453b63455474a33623195f1,54b7bef855474a2bb2746ad7,TwoWay,train,RER C
5453b63555474a336231a92d,5453b63455474a3362317e0c,54b7bef855474a2bb2746ad8,TwoWay,train,RER C
5453b63555474a336231a92d,5453b63455474a3362318018,54b7bef855474a2bb2746ad9,TwoWay,train,RER C
5453b63455474a3362319236,5453b63455474a3362317e21,54b7bef855474a2bb2747093,TwoWay,train,RER E
5453b63555474a336231a02f,5453b63555474a336231a8a6,54b7bef855474a2bb2747094,TwoWay,train,RER E
5453b63455474a336231905f,5453b63455474a33623174a1,54b7bef855474a2bb2747369,TwoWay,train,RER C
5453b63455474a336231905f,5453b63355474a3362317297,54b7bef855474a2bb274736a,TwoWay,train,RER C
5453b63355474a336231728a,5453b63555474a3362319e28,54b7bef855474a2bb274736b,TwoWay,train,RER C
5453b63455474a33623178e7,5453b63455474a33623178eb,54b7bef855474a2bb274736c,TwoWay,train,RER C
5453b63555474a3362319b94,5453b63555474a336231a5ca,54b7bef855474a2bb274736d,TwoWay,train,RER C
5453b63455474a3362319960,5453b63455474a3362318744,54b7bef855474a2bb274736e,TwoWay,train,RER C
5453b63455474a3362317757,5453b63455474a3362317728,54b7bef855474a2bb274736f,TwoWay,train,RER C
5453b63555474a3362319b94,5453b63455474a3362317d02,54b7bef855474a2bb2747370,TwoWay,train,RER C
5453b63455474a3362319960,5453b63555474a336231a973,54b7bef855474a2bb2747371,TwoWay,train,RER C
5453b63455474a3362317d16,5453b63455474a3362319457,54b7bef855474a2bb2747372,TwoWay,train,RER C
5453b63555474a336231a2a8,5453b63455474a3362317c0c,54b7bef855474a2bb2747816,TwoWay,train,RER B
5453b63555474a336231a2a8,5453b63455474a33623188cf,54b7bef855474a2bb2747817,TwoWay,train,RER B
5453b63455474a3362317744,5453b63555474a3362319d5e,54b7bef855474a2bb2747818,TwoWay,train,RER B
5453b63455474a33623190ff,5453b63455474a3362318c57,54b7bef855474a2bb2747819,TwoWay,train,RER B
5453b63555474a3362319fa6,5453b63455474a336231824b,54b7bef855474a2bb274781a,TwoWay,train,RER B
5453b63455474a3362319799,5453b63555474a336231ac8e,54b7bef855474a2bb274781b,TwoWay,train,RER B
5453b63555474a3362319fa6,5453b63555474a3362319fa7,54b7bef855474a2bb274781d,TwoWay,train,RER B
5453b63455474a33623185be,5453b63455474a3362318169,54b7bef855474a2bb274781e,TwoWay,train,RER B
