# Source NodeID,Target NodeID,EdgeID,Direction,Layer,name,Source Layer,Target Layer
5453b63455474a33623174b5,5453b63555474a336231a330,54b954b955474a0e08bd2f51,TwoWay,crosslayer,None,metro,road
5453b63455474a33623174b5,5453b63455474a3362317820,54b954b955474a0e08bd2f52,TwoWay,crosslayer,None,metro,road
5453b63455474a33623174b5,5453b63555474a336231aae1,54b954b955474a0e08bd2f53,TwoWay,crosslayer,None,metro,road
5453b63455474a33623174b5,5453b63455474a336231858e,54b954b955474a0e08bd2f54,TwoWay,crosslayer,None,metro,road
5453b63455474a3362318ea9,5453b63555474a336231a647,54b954b955474a0e08bd2f55,TwoWay,crosslayer,None,metro,road
5453b63455474a3362318ea9,5453b63455474a33623176e9,54b954b955474a0e08bd2f56,TwoWay,crosslayer,None,metro,road
5453b63455474a3362318ea3,5453b63455474a33623174f0,54b954b955474a0e08bd2f57,TwoWay,crosslayer,None,metro,road
5453b63455474a3362318ea3,5453b63455474a33623178e4,54b954b955474a0e08bd2f58,TwoWay,crosslayer,None,metro,road
5453b63455474a3362318ea3,5453b63555474a336231a130,54b954b955474a0e08bd2f59,TwoWay,crosslayer,None,metro,road
5453b63455474a3362318ea3,5453b63455474a33623188e7,54b954b955474a0e08bd2f5a,TwoWay,crosslayer,None,metro,road
5453b63455474a3362318bd0,5453b63555474a336231a981,54b954b955474a0e08bd2f5b,TwoWay,crosslayer,None,metro,road
5453b63455474a3362318bd0,5453b63455474a33623173e2,54b954b955474a0e08bd2f5c,TwoWay,crosslayer,None,metro,road
5453b63455474a3362318bd0,5453b63455474a3362319321,54b954b955474a0e08bd2f5d,TwoWay,crosslayer,None,metro,road
5453b63455474a3362318bd0,5453b63555474a336231a55a,54b954b955474a0e08bd2f5e,TwoWay,crosslayer,None,metro,road
5453b63455474a3362318bd0,5453b63555474a336231ade0,54b954b955474a0e08bd2f5f,TwoWay,crosslayer,None,metro,road
5453b63455474a336231992e,5453b63555474a336231ae03,54b954b955474a0e08bd2f60,TwoWay,crosslayer,None,metro,road
5453b63455474a336231992e,5453b63555474a336231a1d7,54b954b955474a0e08bd2f61,TwoWay,crosslayer,None,metro,road
5453b63455474a336231992e,5453b63455474a3362317803,54b954b955474a0e08bd2f62,TwoWay,crosslayer,None,metro,road
5453b63455474a336231992e,5453b63455474a336231835d,54b954b955474a0e08bd2f63,TwoWay,crosslayer,None,metro,road
5453b63455474a336231992e,5453b63555474a336231ab7b,54b954b955474a0e08bd2f64,TwoWay,crosslayer,None,metro,road
5453b63555474a336231ac99,5453b63455474a3362319974,54b954b955474a0e08bd2f65,TwoWay,crosslayer,None,metro,road
5453b63555474a336231ac99,5453b63555474a336231a115,54b954b955474a0e08bd2f66,TwoWay,crosslayer,None,metro,road
5453b63555474a336231ac99,5453b63555474a3362319fbe,54b954b955474a0e08bd2f67,TwoWay,crosslayer,None,metro,road
5453b63455474a3362318206,5453b63455474a3362318ead,54b954b955474a0e08bd2f68,TwoWay,crosslayer,None,metro,road
5453b63455474a3362318206,5453b63455474a336231998c,54b954b955474a0e08bd2f69,TwoWay,crosslayer,None,metro,road
5453b63455474a3362318206,5453b63455474a33623182f2,54b954b955474a0e08bd2f6a,TwoWay,crosslayer,None,metro,road
5453b63455474a3362318206,5453b63555474a336231ac7c,54b954b955474a0e08bd2f6b,TwoWay,crosslayer,None,metro,road
5453b63455474a3362318743,5453b63455474a3362318b55,54b954b955474a0e08bd2f6c,TwoWay,crosslayer,None,metro,road
5453b63455474a3362318743,5453b63455474a3362318e3a,54b954b955474a0e08bd2f6d,TwoWay,crosslayer,None,metro,road
5453b63455474a3362318743,5453b63455474a336231905a,54b954b955474a0e08bd2f6e,TwoWay,crosslayer,None,metro,road
5453b63455474a3362318743,5453b63455474a3362317826,54b954b955474a0e08bd2f6f,TwoWay,crosslayer,None,metro,road
5453b63455474a3362318743,5453b63555474a336231ae5b,54b954b955474a0e08bd2f70,TwoWay,crosslayer,None,metro,road
5453b63455474a3362318743,5453b63555474a336231ae59,54b954b955474a0e08bd2f71,TwoWay,crosslayer,None,metro,road
5453b63455474a3362318743,5453b63555474a336231a9d0,54b954b955474a0e08bd2f72,TwoWay,crosslayer,None,metro,road
5453b63455474a3362318743,5453b63455474a3362318c21,54b954b955474a0e08bd2f73,TwoWay,crosslayer,None,metro,road
5453b63455474a3362318743,5453b63355474a33623172e4,54b954b955474a0e08bd2f74,TwoWay,crosslayer,None,metro,road
5453b63455474a3362318743,5453b63555474a336231aa24,54b954b955474a0e08bd2f75,TwoWay,crosslayer,None,metro,road
5453b63455474a33623190c2,5453b63455474a3362318e36,54b954b955474a0e08bd2f76,TwoWay,crosslayer,None,metro,road
5453b63455474a33623190c3,5453b63455474a3362317574,54b954b955474a0e08bd2f77,TwoWay,crosslayer,None,metro,road
5453b63455474a33623190c4,5453b63455474a336231792b,54b954b955474a0e08bd2f78,TwoWay,crosslayer,None,metro,road
5453b63455474a33623190c4,5453b63455474a3362317cdd,54b954b955474a0e08bd2f79,TwoWay,crosslayer,None,metro,road
5453b63455474a33623190c4,5453b63455474a33623175ef,54b954b955474a0e08bd2f7a,TwoWay,crosslayer,None,metro,road
5453b63455474a33623190c5,5453b63455474a336231792b,54b954b955474a0e08bd2f7b,TwoWay,crosslayer,None,metro,road
5453b63455474a33623190c5,5453b63455474a33623175ef,54b954b955474a0e08bd2f7c,TwoWay,crosslayer,None,metro,road
5453b63555474a336231ad25,5453b63555474a336231ae04,54b954b955474a0e08bd2f7d,TwoWay,crosslayer,None,metro,road
5453b63555474a336231ad25,5453b63555474a336231a646,54b954b955474a0e08bd2f7e,TwoWay,crosslayer,None,metro,road
5453b63555474a336231ad25,5453b63455474a3362318037,54b954b955474a0e08bd2f7f,TwoWay,crosslayer,None,metro,road
5453b63555474a336231ad25,5453b63455474a3362318ac3,54b954b955474a0e08bd2f80,TwoWay,crosslayer,None,metro,road
5453b63555474a336231ad25,5453b63455474a3362318234,54b954b955474a0e08bd2f81,TwoWay,crosslayer,None,metro,road
5453b63455474a3362319527,5453b63555474a336231a92e,54b954b955474a0e08bd2f82,TwoWay,crosslayer,None,metro,road
5453b63455474a3362319527,5453b63555474a336231ac68,54b954b955474a0e08bd2f83,TwoWay,crosslayer,None,metro,road
5453b63455474a3362319527,5453b63455474a3362318a68,54b954b955474a0e08bd2f84,TwoWay,crosslayer,None,metro,road
5453b63455474a3362319527,5453b63455474a3362318645,54b954b955474a0e08bd2f85,TwoWay,crosslayer,None,metro,road
5453b63455474a3362319527,5453b63455474a336231793f,54b954b955474a0e08bd2f86,TwoWay,crosslayer,None,metro,road
5453b63455474a3362319527,5453b63555474a336231aa28,54b954b955474a0e08bd2f87,TwoWay,crosslayer,None,metro,road
5453b63455474a3362319527,5453b63455474a3362319a4b,54b954b955474a0e08bd2f88,TwoWay,crosslayer,None,metro,road
5453b63455474a3362318cd4,5453b63455474a336231802f,54b954b955474a0e08bd2f89,TwoWay,crosslayer,None,metro,road
5453b63455474a3362318cd4,5453b63455474a3362317754,54b954b955474a0e08bd2f8a,TwoWay,crosslayer,None,metro,road
5453b63455474a3362318cd4,5453b63455474a3362317d3e,54b954b955474a0e08bd2f8b,TwoWay,crosslayer,None,metro,road
5453b63455474a3362318cd4,5453b63455474a3362318255,54b954b955474a0e08bd2f8c,TwoWay,crosslayer,None,metro,road
5453b63455474a3362318cd4,5453b63555474a336231a409,54b954b955474a0e08bd2f8d,TwoWay,crosslayer,None,metro,road
5453b63555474a3362319c17,5453b63455474a3362317a90,54b954b955474a0e08bd2f8e,TwoWay,crosslayer,None,metro,road
5453b63555474a3362319c17,5453b63455474a3362317891,54b954b955474a0e08bd2f8f,TwoWay,crosslayer,None,metro,road
5453b63555474a3362319c17,5453b63555474a336231a375,54b954b955474a0e08bd2f90,TwoWay,crosslayer,None,metro,road
5453b63555474a3362319c17,5453b63455474a3362318b95,54b954b955474a0e08bd2f91,TwoWay,crosslayer,None,metro,road
5453b63555474a3362319c17,5453b63455474a33623183ed,54b954b955474a0e08bd2f92,TwoWay,crosslayer,None,metro,road
5453b63555474a3362319c17,5453b63555474a3362319d80,54b954b955474a0e08bd2f93,TwoWay,crosslayer,None,metro,road
5453b63555474a3362319c17,5453b63455474a3362317f29,54b954b955474a0e08bd2f94,TwoWay,crosslayer,None,metro,road
5453b63555474a3362319c17,5453b63555474a3362319afc,54b954b955474a0e08bd2f95,TwoWay,crosslayer,None,metro,road
5453b63555474a3362319c17,5453b63455474a33623190f2,54b954b955474a0e08bd2f96,TwoWay,crosslayer,None,metro,road
5453b63555474a3362319c17,5453b63455474a3362318771,54b954b955474a0e08bd2f97,TwoWay,crosslayer,None,metro,road
5453b63555474a3362319c17,5453b63455474a336231937b,54b954b955474a0e08bd2f98,TwoWay,crosslayer,None,metro,road
5453b63555474a3362319c17,5453b63455474a33623188ec,54b954b955474a0e08bd2f99,TwoWay,crosslayer,None,metro,road
5453b63555474a3362319c17,5453b63455474a336231981a,54b954b955474a0e08bd2f9a,TwoWay,crosslayer,None,metro,road
5453b63555474a3362319c17,5453b63555474a3362319d7c,54b954b955474a0e08bd2f9b,TwoWay,crosslayer,None,metro,road
5453b63555474a3362319c17,5453b63555474a336231a438,54b954b955474a0e08bd2f9c,TwoWay,crosslayer,None,metro,road
5453b63555474a3362319c17,5453b63555474a336231a43a,54b954b955474a0e08bd2f9d,TwoWay,crosslayer,None,metro,road
5453b63455474a336231931f,5453b63355474a336231728d,54b954b955474a0e08bd2f9e,TwoWay,crosslayer,None,metro,road
