# Source NodeID,Target NodeID,EdgeID,Direction,Layer,name
5453b63455474a3362317782,5453b63555474a336231a0f6,54b7bef755474a2bb2744dc7,TwoWay,metro,M10
5453b63555474a336231a9a0,5453b63455474a3362318fdf,54b7bef755474a2bb2744dc8,TwoWay,metro,M10
5453b63555474a336231a0ba,5453b63555474a336231a5a4,54b7bef755474a2bb2744dc9,TwoWay,metro,M10
5453b63555474a336231a5a4,5453b63455474a3362318ea3,54b7bef755474a2bb2744dca,TwoWay,metro,M10
5453b63455474a33623198be,5453b63455474a3362317de1,54b7bef755474a2bb2744dcb,TwoWay,metro,M10
5453b63555474a336231a7d8,5453b63455474a33623182fa,54b7bef755474a2bb2744dcc,TwoWay,metro,M10
5453b63455474a33623195a2,5453b63455474a3362318bae,54b7bef755474a2bb2744dcd,TwoWay,metro,M10
5453b63455474a33623198be,5453b63455474a3362318fdf,54b7bef755474a2bb2744dce,TwoWay,metro,M10
5453b63555474a336231a7d8,5453b63555474a336231a6d7,54b7bef755474a2bb2744dcf,TwoWay,metro,M10
5453b63555474a336231a7d8,5453b63555474a3362319d63,54b7bef755474a2bb2744dd0,TwoWay,metro,M10
5453b63555474a336231a068,5453b63455474a33623190c2,54b7bef755474a2bb2744f24,TwoWay,metro,M2
5453b63555474a336231a067,5453b63555474a336231a068,54b7bef755474a2bb2744f25,TwoWay,metro,M2
5453b63455474a3362317cc9,5453b63455474a3362319848,54b7bef755474a2bb2744f26,TwoWay,metro,M2
5453b63455474a3362317cc9,5453b63555474a336231a3a2,54b7bef755474a2bb2744f27,TwoWay,metro,M2
5453b63555474a336231a152,5453b63555474a336231a155,54b7bef755474a2bb2744f28,TwoWay,metro,M3
5453b63455474a33623190c4,5453b63455474a33623190c5,54b7bef755474a2bb2744f29,TwoWay,metro,M2
5453b63455474a33623190c3,5453b63455474a33623190c4,54b7bef755474a2bb2744f2a,TwoWay,metro,M2
5453b63455474a33623190c2,5453b63455474a33623190c3,54b7bef755474a2bb2744f2b,TwoWay,metro,M2
5453b63555474a336231a155,5453b63455474a33623183d2,54b7bef755474a2bb2744f2c,TwoWay,metro,M3
5453b63555474a336231a152,5453b63455474a33623190c3,54b7bef755474a2bb2744f2d,TwoWay,metro,M3
5453b63555474a336231a59a,5453b63455474a3362319751,54b7bef755474a2bb27452b5,TwoWay,metro,M14
5453b63455474a33623181a0,5453b63455474a3362317db7,54b7bef755474a2bb27452c4,TwoWay,metro,M13
5453b63455474a3362317a1a,5453b63455474a33623181a0,54b7bef755474a2bb27452c5,TwoWay,metro,M13
5453b63455474a3362319495,5453b63455474a3362317590,54b7bef755474a2bb27452c6,TwoWay,metro,M13
5453b63455474a33623199fe,5453b63455474a3362317af9,54b7bef755474a2bb27454b8,TwoWay,metro,M12
5453b63455474a3362317888,5453b63455474a3362317ea0,54b7bef755474a2bb27454b9,TwoWay,metro,M12
5453b63455474a3362317538,5453b63455474a336231752e,54b7bef755474a2bb27454ba,TwoWay,metro,M12
5453b63555474a3362319bba,5453b63455474a3362317ea0,54b7bef755474a2bb27454bb,TwoWay,metro,M12
5453b63455474a3362318658,5453b63455474a33623199fe,54b7bef755474a2bb27454bc,TwoWay,metro,M12
5453b63455474a3362318658,5453b63455474a3362319828,54b7bef755474a2bb27454bd,TwoWay,metro,M12
